AC	SHORTLABEL	TAXID
EBI-2504100	hv1h2	11706
EBI-2504424	eco27	574521
EBI-2548901	i72a2	381517
EBI-2567354	yeas7	307796
EBI-2567447	human-mm415	9606
EBI-2567450	human-mm485	9606
EBI-2567452	human-wm852	9606
EBI-2567454	human-d04	9606
EBI-2568547	acaca	5755
EBI-2603040	human-mda_mb_361	9606
EBI-9253393	rat-l2 yolk sac cells	10116
EBI-2604279	human-pc3m	9606
EBI-2605897	pyrwo	2262
EBI-2605979	mouse-epidermis	10090
EBI-9254351	hcvgl	329389
EBI-2606902	human-hbec	9606
EBI-2609091	human-pbl-bcll	9606
EBI-2614812	human-kp-l-ry	9606
EBI-2643327	mouse-32dcl3	10090
EBI-2801166	ponab	9601
EBI-2896244	rat-aortic_smooth_muscle	10116
EBI-2899315	mouse-neocortex	10090
EBI-2903165	mouse-osteoblast	10090
EBI-2927728	human-sum 149	9606
EBI-2927748	human-sum 229	9606
EBI-1639865	crigr-v79	10029
EBI-1647960	human-bc_3	9606
EBI-1647962	human-bcbl_1	9606
EBI-1751082	mouse-eoma	10090
EBI-1766262	mouse-dendritic cell	10090
EBI-1766676	human-phoenix	9606
EBI-1768373	human-colon_cancer	9606
EBI-1772037	human-lan_5	9606
EBI-1777027	rat-alveolar_macrophage	10116
EBI-1777281	human-panc1	9606
EBI-1804466	tmv	12243
EBI-2014595	caumo	10641
EBI-2108045	human-a357m2	9606
EBI-782970	human-22rv1	9606
EBI-783000	human-pc3	9606
EBI-783017	human-lncap	9606
EBI-783089	human-kg1	9606
EBI-8767657	ostreococcus tauri virus 2	696472
EBI-784077	rat-skeletal_muscle	1016
EBI-784222	human adenovirus e	130308
EBI-847462	mouse-b16	10090
EBI-848382	sinal	3728
EBI-848576	cucap	91753
EBI-848666	beewe	12042
EBI-848960	tetth	5911
EBI-849855	ade02	10515
EBI-850739	caucr	190650
EBI-852267	rat-l6	10116
EBI-852879	ecow3	316407
EBI-9030022	rat-gh3	10116
EBI-862157	caeel-embryo	6239
EBI-862257	caeel-gavid adult	6239
EBI-862762	rat-h4iie	10116
EBI-863866	bovin-thymus	9913
EBI-865322	trede	243275
EBI-865463	yeren	630
EBI-866452	hpv16	333760
EBI-866708	shv2c	10384
EBI-867254	srv1	11942
EBI-866908	saisc	9521
EBI-867157	mpmv	11855
EBI-867383	chick-lens	9031
EBI-867411	chick-embryonic_fibroblast	9031
EBI-875284	human-e6t	9606
EBI-875293	human-e6ta	9606
EBI-875295	human-beas_2b	9606
EBI-875515	procl	6728
EBI-875519	human-mda_mb_453	9606
EBI-875528	kunvi	11077
EBI-875640	pseae	208964
EBI-876086	bpt7	10760
EBI-878343	mouse-c2c12	10090
EBI-9074010	human-snu-449	9606
EBI-9074540	human-ren	9606
EBI-904199	mouse-embryo	10090
EBI-904338	mouse-embryonic_stem cell	10090
EBI-904469	mouse-70z_3	10090
EBI-904968	human-thp-1	9606
EBI-906048	horvd	112509
EBI-9080184	human-kyse150	9606
EBI-9087402	human-htb13	9606
EBI-908152	plafa	5833
EBI-9097124	crigr-cho_lec15	10029
EBI-909142	chlae-bsc40	9534
EBI-909623	hcvtw	31645
EBI-911605	emeni	227321
EBI-911611	hv1y2	362651
EBI-912396	hbv	10407
EBI-912420	bhv1p	10324
EBI-9118317	aciby	509173
EBI-913034	allpo	4681
EBI-913407	mouse-myeloma_66_2	10090
EBI-914182	pol1m	12081
EBI-922063	rat-ref52	10116
EBI-923060	human-imr_90	9606
EBI-924085	aotaz	30591
EBI-924414	human-te671	9606
EBI-9118333	allvd	572477
EBI-925009	mouse-j2e	10090
EBI-925068	human-au565	9606
EBI-925112	crilo-cho	10030
EBI-925293	mouse-c11	10090
EBI-925323	mouse-c24	10090
EBI-925455	mouse-me17	10090
EBI-9119548	plafg	5838
EBI-927224	drosu	7241
EBI-9119550	odovi	9875
EBI-9119583	influenza a virus (a/swine/england/191973/92(h1n7))	375732
EBI-931018	thema	243274
EBI-931833	masla	83541
EBI-933373	human-dld1	9606
EBI-934194	thevl	32053
EBI-935476	mlvmo	11801
EBI-937824	mouse-ghft_1	10090
EBI-943539	mouse-spleen	10090
EBI-943585	human-namalwa	9606
EBI-943910	mouse-skin	10090
EBI-957254	human-sk_n_be(2)	9606
EBI-957720	human-msc	9606
EBI-957822	vicfa	3906
EBI-958666	mouse-hepa_1c1	10090
EBI-959732	rat-neuron	10116
EBI-959868	mouse-raw264_7	10090
EBI-959971	human-u373_mg	9606
EBI-960073	mouse-macrophage	10090
EBI-960615	human-kb	9606
EBI-961037	mouse-baf	10090
EBI-961834	crigr-ps120	10029
EBI-970330	human-endomet_stroma_cells	9606
EBI-963840	hpv1a	10583
EBI-970902	shiss	300269
EBI-971654	saltp	41529
EBI-972194	vibha	669
EBI-973600	mouse-brain-cortex	10090
EBI-973614	rat-brain-cortex	10116
EBI-973979	mouse-mn9d	10090
EBI-978340	strpy	1314
EBI-980934	methanocaldococcus jannaschii	2190
EBI-981050	wnv	11082
EBI-981996	rhisn	394
EBI-982983	mouse-p19	10090
EBI-982987	strsg	1320
EBI-983110	human-skin	9606
EBI-983752	lagne	61172
EBI-983987	mouse-do11_10	10090
EBI-984583	vaccc	10249
EBI-984664	vaccw	10254
EBI-985652	mouse-s180	10090
EBI-986453	mesau-brain	10036
EBI-986954	staau	1280
EBI-987479	mouse-fibroblast	10090
EBI-987594	mouse-purkinje cell	10090
EBI-987674	mouse-osteoclast	10090
EBI-988223	rat-rin_5f	10116
EBI-988227	mouse-att_20	10090
EBI-988472	mouse-prox_tubule_cell	10090
EBI-988534	mouse-endosome	10090
EBI-988943	human-hl_60	9606
EBI-988953	mouse-neuro_2_a	10090
EBI-988981	human-rwp_1	9606
EBI-8838716	manse-neuron	7130
EBI-989195	human-a7	9606
EBI-989480	drome-embryonic_neuroblast	7227
EBI-990318	nical	4087
EBI-991480	rat-kidney	10116
EBI-993114	ebvb9	10377
EBI-993733	burgl	337
EBI-995143	mouse-foetus	10090
EBI-995934	human-ej138	9606
EBI-996056	human-du_4475	9606
EBI-996138	bpv2	10560
EBI-996651	mouse-ventricular myocyte_neo	10090
EBI-996832	chick-dt40	9031
EBI-997634	human-molt-beta	9606
EBI-997968	mouse-bmdc	10090
EBI-999269	mouse-brain-hippocampus	10090
EBI-999328	rat-rt4_d6p2t	10116
EBI-1001092	mouse-32d	10090
EBI-1005722	mouse-retina	10090
EBI-1003816	human-mtc	9606
EBI-1005802	mouse-mammary gland	10090
EBI-1006467	pig-brain	9823
EBI-1009522	bovin-urin_bladder_carcino	9913
EBI-1009613	mouse-pituitary-adenoma	10090
EBI-1013035	mouse-blastocyst	10090
EBI-9212156	altal	5599
EBI-9072834	pseudomonas aeruginosa 2192	350703
EBI-1025718	human-ht_29	9606
EBI-1025735	human-skbr3	9606
EBI-1025972	bppb2	10684
EBI-9073982	human-mahlavu	9606
EBI-1026814	psepu	303
EBI-1026821	psefl	294
EBI-1027187	bacam	1390
EBI-1027192	strau	1894
EBI-1027327	profr	1752
EBI-1027604	parde	266
EBI-1028058	sulsf	2287
EBI-1028096	kleox	571
EBI-1028141	cloco	1494
EBI-1028181	psepa	13689
EBI-1028551	uniba	10469
EBI-1028552	9bact	2
EBI-9118225	mouse-endothelium	10090
EBI-1029137	rhos4	272943
EBI-1029149	rhosh	1063
EBI-1029292	hhv1a	10301
EBI-1029309	hhv11	10299
EBI-8756648	rat-primary_hippocampal_neuron	10116
EBI-1029419	aciad	62977
EBI-1030490	strp1	301447
EBI-1635760	chick-cochlea	9031
EBI-9118307	psep1	351746
EBI-1638769	human-3a_tpa_30_1	9606
EBI-1639058	human-326v	9606
EBI-1639750	crigr-nm3	10029
EBI-1641816	human-np-18	9606
EBI-9118310	pses1	307
EBI-1645384	braob	3715
EBI-1646296	human-sk_mel_28	9606
EBI-1646298	ancca	29170
EBI-1767376	human-me1007	9606
EBI-1769802	human-cwr_r1	9606
EBI-1771270	hhv1f	10304
EBI-1776807	cavc1	73475
EBI-1781897	rat-nrk	10116
EBI-1781954	pig-llcpk	9823
EBI-1782584	xenla-animal_cap	8355
EBI-9118817	sulfolobus shibatae b12	523848
EBI-1786838	phypa	3218
EBI-9119556	rdvo	142805
EBI-9119558	dengue virus 2	11060
EBI-2014943	pyrfu	186497
EBI-2118897	raleh	381666
EBI-2133087	western european house mouse	10092
EBI-2325522	human-m059k	9606
EBI-9119669	influenza a virus (a/turkey/italy/220158/2002(h7n3))	265121
EBI-2369186	allium_epidermis	546498
EBI-2369260	cucma	3661
EBI-2408337	mycs2	246196
EBI-2410128	human-bph1	9606
EBI-2433133	mouse-n18	10090
EBI-2460220	human-wr2e3	9606
EBI-2479025	caeel-oocyte	6239
EBI-2480685	human-tgw	9606
EBI-2480798	mouse-colon	10090
EBI-9201703	carhz	246194
EBI-2532222	hhv3	10335
EBI-2549807	mouse-1c6	10090
EBI-2566788	human-a2058	9606
EBI-2567007	human-lung	9606
EBI-2568717	rubvm	11043
EBI-2584697	human-wm1791c	9606
EBI-2584762	human-pmwk	9606
EBI-2585279	mouse-mktal	10090
EBI-9206304	hrv16	31708
EBI-2602863	trycr	5693
EBI-2607010	human-h727	9606
EBI-2607055	human-h520	9606
EBI-2607071	human-h358	9606
EBI-2610146	human-apl_blasts	9606
EBI-2625343	human-df14	9606
EBI-2625486	human-hey8	9606
EBI-9206306	hrv1a	12134
EBI-2625561	human-ovca420	9606
EBI-9206309	influenza a virus (a/chicken/vietnam/4/2003(h5n1))	380835
EBI-2625602	human-ovcar8	9606
EBI-2625634	human-ovcar5	9606
EBI-2625673	human-caov3	9606
EBI-2625707	human-ovcar432	9606
EBI-2625732	human-ovcar433	9606
EBI-2625764	human-tov21g	9606
EBI-9206313	i79a4	384495
EBI-9206315	pseu7	269086
EBI-1638813	human-bd220	9606
EBI-1638828	human-bd215	9606
EBI-1638843	human-eufa409	9606
EBI-1648126	rat-tgr_1	10116
EBI-1748137	human-skov_3	9606
EBI-2943927	bovin-pancreas	9913
EBI-8754908	goshi	3635
EBI-3384967	helam	29058
EBI-3385036	human-sk-hep-1	9606
EBI-3387759	carau	7957
EBI-8769521	enterococcus faecium e1679	546340
EBI-3454470	theeb	197221
EBI-3454473	acifv	591001
EBI-3508978	human-rcc4	9606
EBI-3647446	gtovv	45219
EBI-3647472	machu	11628
EBI-3647494	sabvb	45709
EBI-3831974	mouse-som_stem_cell	10090
EBI-8794388	lacpl	220668
EBI-3864534	human-sklms1	9606
EBI-3891153	caeel-non_gavid_adul	6239
EBI-3891220	caeel-mixed_stage	6239
EBI-8829943	escherichia coli b171	344601
EBI-4289532	human-lim1215	9606
EBI-4291938	influenza a virus (a/wyoming/03/2003(h3n2))	480024
EBI-4303621	rat-astrocyte	10116
EBI-4303659	mouse-l8057	10090
EBI-4303863	rhocb	272942
EBI-4303878	neucs	5141
EBI-4305424	human-hmel468	9606
EBI-4306499	human-hcc202	9606
EBI-4306509	human-sum185pe	9606
EBI-4319299	human-ea.hy926	9606
EBI-4319308	solanum lycopersicum var. cerasiforme	195583
EBI-4320730	human-u251	9606
EBI-4324463	human-697	9606
EBI-4325157	9pezi	285224
EBI-4369708	human-na8	9606
EBI-4369712	human-me67	9606
EBI-4413034	mouse-oocyte	10090
EBI-4423976	human-skw6.4	9606
EBI-4566336	human-erythroblast	9606
EBI-9006536	danre-brain	7955
EBI-5236367	human-md11	9606
EBI-5236369	human-md20	9606
EBI-5236417	human-hs683	9606
EBI-5236421	human-hs1783	9606
EBI-5236461	htl1a	11926
EBI-5236504	human-slb-1	9606
EBI-5237835	human-2ftgh	9606
EBI-9078762	cucumber mosaic cucumovirus	12305
EBI-5241046	human-embryonic_stem_ cells	9606
EBI-5258166	human-hkcl-4	9606
EBI-5259106	crigr-ecr-cho	10029
EBI-5259257	mouse-38b9	10090
EBI-5260056	staaw	196620
EBI-5277284	human-a375	9606
EBI-5281030	bovin-cartilage	9913
EBI-5281710	human-q293a	9606
EBI-5282373	rat-chondrosarcoma	10116
EBI-5321595	pseai	287
EBI-5324720	mouse-l929sahfas	10090
EBI-5327655	human-l02	9606
EBI-5333865	rat-r9	10114
EBI-5394243	mouse-pdc	10090
EBI-5416044	helpx	210
EBI-5444485	fratl	119856
EBI-5529460	human-a172	9606
EBI-5652386	human-ht-h	9606
EBI-5800312	i75a3	392809
EBI-6050485	human-synovial_sarcoma	9606
EBI-6081535	mouse-synovial_sarcoma	10090
EBI-6082333	human-nci_h1975	9606
EBI-6082397	human-fuji	9606
EBI-6099755	human-t-all	9606
EBI-6116374	human-msr-293	9606
EBI-6085173	human-skgt4	9606
EBI-6116368	rat-rn46a	10116
EBI-6124006	human-neuronal_precursor_cells(stem cells)	9606
EBI-9079087	cmvfn	12307
EBI-6137231	rat-umr-106	10116
EBI-6137267	rat-ros17/2.8	10116
EBI-6137410	human-heart	9606
EBI-6138370	human-ht-144	9606
EBI-6139681	human-cwr22rv1	9606
EBI-6139716	human-intestinal muscle	9606
EBI-6140346	rat-cardiac_myocytes	10116
EBI-6141747	mouse-eye	10090
EBI-6147312	reovd	10886
EBI-6147830	nipav	121791
EBI-6147946	bvdv-2	54315
EBI-6147977	i40a0	383543
EBI-6148276	incaa	11553
EBI-6148293	ebozm	128952
EBI-6148504	classical swine fever virus	11096
EBI-6148693	sv5	11208
EBI-6148713	muhvk	69156
EBI-6148813	rotp5	10915
EBI-6148897	rvfv	11589
EBI-6149002	tho	126796
EBI-6149036	sendf	11195
EBI-6149057	hendh	928303
EBI-6149281	lcmv	11624
EBI-6149326	pi2ht	11214
EBI-6149373	measw	132487
EBI-6149497	i33a0	381518
EBI-6149517	hcmvt	10363
EBI-6149869	hcmvm	295027
EBI-6150154	i18a0	88776
EBI-6150237	i97a1	130763
EBI-6151212	h5n1-thailand	270485
EBI-6151373	den27	31635
EBI-6151395	mabvm	33727
EBI-6152134	i09a0	641501
EBI-6152248	sfsv	28292
EBI-6152520	bvdv	11099
EBI-6152565	h5n1-china	680716
EBI-6152702	bunl8	796210
EBI-6153031	muhv1	10366
EBI-6153072	ndv	652953
EBI-6169844	mouse-villus	10090
EBI-6173788	human-vmrc-rcw	9606
EBI-6247998	mouse-neutrophils	10090
EBI-6248048	human-hmec-1	9606
EBI-6273960	human-embryonic lung fibroblasts	9606
EBI-6274110	human-uke1	9606
EBI-6274125	human-set2	9606
EBI-6274316	mouse-ns1	10090
EBI-6280111	human-nomo-1	9606
EBI-6296033	mouse-pancreatic ductal adenocarcinoma cells	10090
EBI-8840354	manse-embryo	7130
EBI-2935393	human-u87	9606
EBI-2935402	human-at22ije-tpebs7-yz5	9606
EBI-2935550	human-c8161_9	9606
EBI-2935554	human-lox	9606
EBI-2935558	human-mel_juso	9606
EBI-9118329	halnc	555778
EBI-9118540	i34a0	392810
EBI-2940929	human-te7	9606
EBI-2940930	human-te3	9606
EBI-2941000	drome-larva	7227
EBI-2942370	human-sk_mel_5	9606
EBI-9118542	i80a6	387207
EBI-2945062	blage	6973
EBI-9119540	gratl	285951
EBI-9119585	influenza a virus (a/swine/st-hyacinthe/148/1990(h1n1))	382853
EBI-9119692	fmdvo	73482
EBI-3384935	allsa	4682
EBI-3387742	mouse-h_end	10090
EBI-3509484	human-mel_202	9606
EBI-3510163	human-huh1	9606
EBI-3650421	measc	645098
EBI-3842915	wheat-germ	4565
EBI-3843735	human-a5rt3	9606
EBI-9119721	pyrae	178306
EBI-9154985	thermosynechococcus vulcanus str. copeland	455064
EBI-3888433	hbvd5	489488
EBI-3890370	9eury	2261
EBI-3892206	rat-rt4-67	10116
EBI-9163272	human-astrocytoma	9606
EBI-3989355	human-capan-1	9606
EBI-3989683	bpdp1	59241
EBI-3990220	bcp1	10747
EBI-3990605	sulac	330779
EBI-4279417	rat-rt4_nf2_17	10116
EBI-4279756	drome-testis	7227
EBI-4566405	mouse-t-cell_th17	10090
EBI-4291954	influenza a virus (a/texas/36/1991(h1n1))	380964
EBI-4303817	tryb2	185431
EBI-4309326	human-mda_mb_436	9606
EBI-4312045	human-sperm	9606
EBI-9163318	bacillus sp. rapc8	218609
EBI-4370496	human-rl	9606
EBI-4370994	human-sk_mel_2	9606
EBI-4371416	mouse-cardiac fibroblast	10090
EBI-4398353	human-htry	9606
EBI-4400019	human-sw480	9606
EBI-4403817	cchfv	11594
EBI-4406274	ecobw	595496
EBI-4409270	rat-brain-hippocampus	10116
EBI-4409871	vsivo	11284
EBI-4420423	tredn	158
EBI-4420427	trepl	160
EBI-4420622	arath-seedling	3702
EBI-4565847	npvos	10450
EBI-5666040	mouse-zhbtc4	10090
EBI-5745977	rat-bone	10116
EBI-6050377	human-syo-1	9606
EBI-6050721	rat-mtln3	10116
EBI-6082399	human-ccl-153	9606
EBI-6082684	human-sk-lc-5	9606
EBI-6085157	human-be3	9606
EBI-6097276	human-dnd-41	9606
EBI-9163332	anabaena sp.	1167
EBI-9212158	actde	3627
EBI-6169667	human-ls147t	9606
EBI-6173012	human-haec	9606
EBI-6189544	cauce	155892
EBI-9210343	mouse-mesenchyme	10090
EBI-6248123	human-hpb-all	9606
EBI-6248637	halvd	309800
EBI-6252914	rat-h9c2	10116
EBI-6254248	mouse-c4hd	10090
EBI-6255060	human-cwr22	10090
EBI-6274322	mouse-akr-2b	10090
EBI-6284956	mouse-nso	9696
EBI-6287468	human-j82	9606
EBI-6288618	rat-cortical_neuron	10114
EBI-6290642	mouse-cerebral_cortical_neuron	10090
EBI-6306821	mouse-nmumg	10090
EBI-6372560	campylobacter jejuni subsp. jejuni cf93-6	360111
EBI-6373053	rat-adipose tissue	10116
EBI-6375443	human-p493-6	9606
EBI-6377913	rubvt	11045
EBI-6378293	proex	91439
EBI-6379615	spofr-158	7108
EBI-6389296	human-mino	9606
EBI-6391113	human-mahlavu	9606
EBI-6391206	human-hsb2	9606
EBI-9211151	mouse-erythrocyte	10090
EBI-6392316	avies	11862
EBI-9212256	musac	4641
EBI-6397174	human-rch-acv	9606
EBI-6406516	pediococcus halophil	51669
EBI-6406668	clodi	1496
EBI-6406880	fratw	418136
EBI-9213976	mouse-nf639	10090
EBI-6407060	brusu	204722
EBI-6407636	entfa	226185
EBI-9234545	mouse-vallate papilla	10090
EBI-6407812	peccc	555
EBI-6409210	desgi	879
EBI-6409695	mycoplasma mobile	2118
EBI-6409888	bacillus subtilis su	86029
EBI-6409931	strain 2-40 / atcc 4	203122
EBI-9235367	lacre	1598
EBI-9247738	ecodh	316385
EBI-6411143	brua2	359391
EBI-6411757	psepk	160488
EBI-9248062	rhodobacteraceae	31989
EBI-6412253	strain na1000 / cb15	565050
EBI-6412298	alifs	668
EBI-6412354	pseht	326442
EBI-6412982	allochromatium vinos	1049
EBI-6413282	mycoplasma pneumonia	2104
EBI-6413562	strain atcc 700610 /	210007
EBI-6413794	strain j2315)	216591
EBI-6414000	aersa	645
EBI-6414108	borrelia turicatae	142
EBI-6414233	staac	93062
EBI-6414330	microbispora coralli	83302
EBI-6414551	streptococcus gordon	1302
EBI-6415016	proteus mirabilis	584
EBI-6415243	strain mrsa252	282458
EBI-2210822	mouse-svec4-10	10090
EBI-2216431	rat-brain-striatum	10116
EBI-2255288	rat-ins1	10116
EBI-2474658	human-nk3_3	9606
EBI-2348800	drome-kc167	7227
EBI-2368442	mouse-n2a	10090
EBI-2466533	arath-meristem	3702
EBI-2506507	didma-okp	38605
EBI-2531407	xenopus laevis laevis-oocyte	443947
EBI-2573488	human-eu-1	9606
EBI-2584827	mouse-melanoma	10090
EBI-2660531	tetts	312017
EBI-2677183	human-vcap	9606
EBI-8848005	sendz	11198
EBI-2892018	ascss	79730
EBI-2893262	mouse-tramp_c	10090
EBI-2941544	human-mgc-803	9606
EBI-8848115	pi3b	11215
EBI-8873101	strt2	264199
EBI-9015596	scapharca inaequivalvis	6561
EBI-9015616	aldgi	167804
EBI-3647293	junin	11619
EBI-3648045	hrsva	11259
EBI-3650819	hbvcj	928302
EBI-3863927	mlvms	928306
EBI-9015956	brycon cephalus	126311
EBI-9015997	white-tailed deer	9874
EBI-3869452	mouse-forebrain	10090
EBI-3870693	acavi	6277
EBI-3891510	human-h23	9606
EBI-3903825	human-09_8tl_mpnst	9606
EBI-3895713	human-mcf7-c4-12	9606
EBI-9016058	lumte	6398
EBI-3903833	rat-r3	10114
EBI-3944213	metja	243232
EBI-3944215	schpo	284812
EBI-3944217	psesm	223283
EBI-8752882	agrae	5400
EBI-3955357	human-breast_cancer	9606
EBI-3955532	human-rwpe	9606
EBI-9016112	rifpa	6426
EBI-3956146	human-mfhistiocytoma	9606
EBI-3956147	human-leiomyosarcoma	9606
EBI-3956393	rat-r3327	10116
EBI-3959994	human-mcf7_her2	9606
EBI-3990563	sulso	273057
EBI-3990584	arcfu	224325
EBI-3990616	klula	284590
EBI-4291922	influenza a virus (a/new caledonia/20/1999(h1n1))	381512
EBI-4304031	mouse-lymphoma	10090
EBI-4305384	human-wm115	9606
EBI-4306171	human-mfh_m	9606
EBI-4306173	human-uncl	9606
EBI-4306175	human-leio_177	9606
EBI-4306850	human-colo_357	9606
EBI-4312452	salts	216597
EBI-4321955	human-hsc3	9606
EBI-4369710	human-juso	9606
EBI-9016430	clostridium barkeri	1528
EBI-4392427	human-at22ije-tpebs7	9606
EBI-4403906	cchfi	652961
EBI-4566452	mouse-r7	10090
EBI-4405777	human-ov2008	9606
EBI-4420418	ectvm	265874
EBI-4567557	human-macrophage	9606
EBI-5238212	human-bone marrow	9606
EBI-9016469	clostridium mp	1520
EBI-5258860	human-rpmi8226	9606
EBI-5260393	strp6	286636
EBI-5271838	lacll	1360
EBI-5273413	human-mm6	9606
EBI-5274075	mouse-kidney	10090
EBI-5274812	mouse-mes13	10090
EBI-9016640	bacillus sp. ta2.a1	90973
EBI-5276920	human-hmle	9606
EBI-5277287	human-g361	9606
EBI-5281357	human-nci-adr-res	9606
EBI-5281417	mouse-white_adipose	10090
EBI-5394627	mouse-fl5.12	10090
EBI-5445084	human-apl-primary	9606
EBI-5451779	human-hcc-1954	9606
EBI-5529237	mouse-gd25	10090
EBI-5529291	human-nci_h460	9606
EBI-5529802	human-scc9	9606
EBI-5652369	human-sng-m	9606
EBI-5681591	mouse-46c	10090
EBI-5842054	synechocystis sp. pcc 6803	1148
EBI-5917374	chick-gizzard	9031
EBI-6051570	orysj-root	39947
EBI-6082828	human-nci_h23	9606
EBI-6083673	human-svec	9606
EBI-9017049	namalycastis sp. st01	243920
EBI-6097271	human-all-sil	9606
EBI-6120116	human-rcc10	9606
EBI-6126950	mouse-brown_adipose	10090
EBI-6127133	rat-embryonic fibroblast	10116
EBI-6127247	mouse-t37i	10090
EBI-6169153	rat-ar42j	10116
EBI-6248719	human-gbm43	9606
EBI-6252509	bovin-spleen	9913
EBI-6253048	human-hcaec	9606
EBI-6256874	human-iec	9606
EBI-9017224	corynebacterium crenatum	168810
EBI-9017443	african puff adder	8692
EBI-6262751	human-sw1353	9606
EBI-9017574	thermosynechococcus elongatus	146786
EBI-9017916	clopa	1501
EBI-6285963	ptevi	13821
EBI-9018204	strain ebn1)	76114
EBI-6299487	mouse-keratinocyte	10090
EBI-6303162	human-sk-ut-1	9606
EBI-6305296	human-iose	9606
EBI-6309682	human-brain-striatum	9606
EBI-6355977	human-m426	9606
EBI-6373534	rat-mast_cell	10116
EBI-6374843	mouse-thymocyte	10090
EBI-6374865	human-b5_589	9606
EBI-6375039	human-trabecular meshwork	9606
EBI-6375134	human-jeko-1	9606
EBI-6375557	human-npce	9606
EBI-6376079	rat-hepatocyte	10116
EBI-2935686	human-neuron	9606
EBI-2935809	yeast	559292
EBI-2938162	human-hct-15	9606
EBI-2943667	human-heparg	9606
EBI-3402081	drops	46245
EBI-3504531	human-wt7	9606
EBI-3504716	human-ew7	9606
EBI-3504718	human-mum-2b	9606
EBI-8840665	bovin-milk	9913
EBI-3505444	avimb	11866
EBI-3646715	mouse-c26	10090
EBI-3650960	human-cl1-0	9606
EBI-3650965	human-cl1-5	9606
EBI-3843160	human-hose	9606
EBI-4291906	influenza a virus (a/panama/2007/1999(h3n2))	381513
EBI-6096760	human-hmc-1-8	9606
EBI-4322199	human-hec1a	9606
EBI-4324825	vanpo	436907
EBI-6106235	closd	499177
EBI-4371971	human-ppc-1	9606
EBI-4567000	human-jca1	9606
EBI-4567017	human-276b1	9606
EBI-8852364	mouse-t-cell_th1	10090
EBI-5238082	mouse-glioma	10090
EBI-9005186	human-mda_mb_134	9606
EBI-5273678	human-nccit	9606
EBI-5276621	prrsv	28344
EBI-5323826	mouse-d2sc	10090
EBI-5324296	human-j-tag	9606
EBI-5324611	human-sgbs preadipocytes	9606
EBI-5327560	human-bv173r	9606
EBI-5402019	human-melanoma	9606
EBI-5452266	human-ml-1	9606
EBI-5590541	human-sw707	9606
EBI-9018242	lactococcus lactis	1358
EBI-6050643	influenza a virus (a/wsn/1933(h1n1))	382835
EBI-9018846	bppm2	10661
EBI-6092601	human-su8686	9606
EBI-6127199	mouse-3t3-f442a	10090
EBI-6169842	mouse-crypt	10090
EBI-6169972	mouse-organoid	10090
EBI-6248206	mouse-vegfko	10090
EBI-6252412	rat-3y1	10116
EBI-6254350	mmtvc	11759
EBI-6256564	human-t47d-y	9606
EBI-6257279	mouse-cartliage	10090
EBI-6262399	pedhe	984
EBI-6268127	human-293ft	9606
EBI-6268311	mouse-hib1b	10090
EBI-6269063	mease	11235
EBI-9018889	bacteriophage prd1	10658
EBI-6285965	toxgo	5811
EBI-6287524	human-hone1	9606
EBI-9018934	carhy	129958
EBI-6305364	mouse-bac1.2f5	10090
EBI-6306189	musvi	452646
EBI-6307949	mouse-nih_saa	10090
EBI-9018965	psesp	306
EBI-6383607	rubvr	11044
EBI-6390410	musvi-ccl64	452646
EBI-6391050	human-adenocarcinoma	9606
EBI-9019048	unidentified phage	38018
EBI-6397083	human-kasumi-2	9606
EBI-6397391	human-malme-3m	9606
EBI-6398301	pseudomonas aeruginosa cig1	1163397
EBI-6398481	mouse-t-cell_th0	10090
EBI-6399182	tgmvy	223341
EBI-6399912	ruminococcus flavefa	1265
EBI-6399972	unknown	-3
EBI-6189540	saltm	90371
EBI-6400090	strain mc58	122586
EBI-6400149	aggregatibacter actinomycetemcomitans rhaa1	1089447
EBI-6400570	vibvl	672
EBI-6400620	strain atcc 35296 / 	573061
EBI-9019097	burxl	266265
EBI-6400663	baciu	1423
EBI-6400891	psef5	220664
EBI-6400922	staan	158879
EBI-6400947	mycbp	410289
EBI-6401173	edwta	636
EBI-6401241	ecod1	536056
EBI-9019098	comte	285
EBI-6401415	aggac	714
EBI-6401533	streptococcus parasa	1318
EBI-6401961	chltr	272561
EBI-9019173	spopa	1474
EBI-9019524	latoc	3858
EBI-6402329	vibcl	666
EBI-6402419	stree	1313
EBI-6402458	chlpn	83558
EBI-6402530	legph	272624
EBI-6402657	corgl	196627
EBI-6402819	vibal	663
EBI-9019554	deiac	36307
EBI-6403022	strain atcc 35210 / 	224326
EBI-9019629	pinktoe tarantula	479442
EBI-6403230	strain atcc 25177 / 	419947
EBI-6403290	xanc5	316273
EBI-6403338	clostridium perfring	1502
EBI-6403456	sinorhizobium melilo	266834
EBI-6403557	strp9	301452
EBI-6403585	wolsc	844
EBI-6403586	wolsu	273121
EBI-6403846	vibc3	345073
EBI-9019658	thiti	931
EBI-9019754	blavi	1079
EBI-6404462	pepma	1260
EBI-9020489	methanosarcina barkeri	2208
EBI-6404571	agrobacterium rhizog	359
EBI-6404615	ehrch	945
EBI-6404616	strain arkansas	205920
EBI-6404816	erwch	556
EBI-6404977	mesorhizobium tianshanense	39844
EBI-6405013	strp2	373153
EBI-6405237	acetobacterium dehalogenans	82116
EBI-9020559	bacteriophage rb69	12353
EBI-6405445	salmonella choleraes	28901
EBI-6405456	yere8	393305
